blockNumber,reserve0,reserve1
18909136,"52190352907602","22796662109035700542675"
18909137,"52190352907602","22796662109035700542675"
18909138,"52190352907602","22796662109035700542675"
18909139,"52190352907602","22796662109035700542675"
18909140,"52191297543750","22796250738757418430900"
18909141,"52191297543750","22796250738757418430900"
18909142,"52191297543750","22796250738757418430900"
18909143,"52191297543750","22796250738757418430900"
18909144,"52191297543750","22796250738757418430900"
18909145,"52191297543750","22796250738757418430900"
18909146,"52191297543750","22796250738757418430900"
18909147,"52191297543750","22796250738757418430900"
18909148,"52191795845896","22796033744064235008159"
18909149,"52191795845896","22796033744064235008159"
18909150,"52191795845896","22796033744064235008159"
18909151,"52191795845896","22796033744064235008159"
18909152,"52191795845896","22796033744064235008159"
18909153,"52193018903225","22795501159135804649194"
18909154,"52193018903225","22795501159135804649194"
18909155,"52193280139770","22795387405928807249089"
18909156,"52193280139770","22795387405928807249089"
18909157,"52193280139770","22795387405928807249089"
18909158,"52193280139770","22795387405928807249089"
18909159,"52193280139770","22795387405928807249089"
18909160,"52193280139770","22795387405928807249089"
18909161,"52193280139770","22795387405928807249089"
18909162,"52194280139770","22794951975025475628202"
18909163,"52194280139770","22794951975025475628202"
18909164,"52194280139770","22794951975025475628202"
18909165,"52194280139770","22794951975025475628202"
18909166,"52194280139770","22794951975025475628202"
18909167,"52194280139770","22794951975025475628202"
18909168,"52194280139770","22794951975025475628202"
18909169,"52194280139770","22794951975025475628202"
18909170,"52194664966657","22794784413948578727405"
18909171,"52194664966657","22794784413948578727405"
18909172,"52194465859604","22794871631224465168864"
18909173,"52194860396929","22794699843283483757469"
18909174,"52194860396929","22794699843283483757469"
18909175,"52194860396929","22794699843283483757469"
18909176,"52194860396929","22794699843283483757469"
18909177,"52194860396929","22794699843283483757469"
18909178,"52194860396929","22794699843283483757469"
18909179,"52194860396929","22794699843283483757469"
18909180,"52194771019441","22794738994013782847074"
18909181,"52194771019441","22794738994013782847074"
18909182,"52194771019441","22794738994013782847074"
18909183,"52194771019441","22794738994013782847074"
18909184,"52194771019441","22794738994013782847074"
18909185,"52194771019441","22794738994013782847074"
18909186,"52194771019441","22794738994013782847074"
18909187,"52194771019441","22794738994013782847074"
18909188,"52194771019441","22794738994013782847074"
18909189,"52194771019441","22794738994013782847074"
18909190,"52194771019441","22794738994013782847074"
18909191,"52194771019441","22794738994013782847074"
18909192,"52194771019441","22794738994013782847074"
18909193,"52194771019441","22794738994013782847074"
