blockNumber,amount0,amount1
21177711,"147830","46570086153110"
21182721,"18373106","5785124069482300"
21198204,"9959597020926","3175596570671127871314"
21203558,"1132000394","360995906328037808"
21216587,"6226109","1965293656032248"
21217852,"10094364780891","3202377106024053982082"
21232551,"7764969847581","2520716250819086751160"
21238108,"4058052979","1200000000000000000"
21248627,"7764969847581","2318650169175653653868"
21252187,"34145949","9986343723471572"
21261319,"7764969847581","2315460527917757970180"
21269117,"860341199","249375628392228188"
21270880,"443229","131762021148870"
21275057,"10149599151976","3043819742317830017292"
21288382,"1702142989","476178508459087041"
21289279,"9408478484098","2624063463417529904719"
21293314,"1500000000","417737520887057291"
21295454,"1700000000","475298170941445789"
21300389,"2445558990","669253072968173189"
21304582,"7764969847581","2091434928534170494019"
21305766,"19993072","5431789413064298"
21313181,"20000000","5433698801886666"
21313471,"20000000","5458569626773544"
21316767,"325853","89987337391273"
21332854,"7764969847581","2034415873809937736490"
21345613,"767666749","189483304014597005"
21353364,"4014200","999999877452669"
21353498,"200779234","50000000000000000"
21353589,"11144059946985","2778059149674003618997"
21354631,"4999837","1248789959051266"
21361872,"746375204","188954908290448132"
21363259,"390424345","99599999752571669"
21365126,"700000000","181579696931600156"
21371840,"10000000","2657471913078609"
21377101,"7764969847581","2116080714418120113441"
21396939,"7764969847581","1993540761767880282358"
21413140,"7764969847581","1958541446114707914258"
21433125,"7764969847581","2131657666046182992671"
21438071,"62381736","17616869041475430"
21448025,"8659394095843","2488068974825651125709"
21453045,"10071050000000","3015268160669385829241"
21453070,"193530591465","57997525891631663817"
21454723,"588905","175027657569917"
21459821,"8389923335111","2534091715953537812934"
21469805,"8138102991334","2404410032318987477804"
21476347,"9047524840920","2603550853370979335861"
21480471,"15415093","4443950349797235"
21486242,"8658547975152","2573693466431451931655"
21496330,"8226176847587","2462694607122646914311"
21504206,"7821234623203","2296230041632277437500"
21508097,"81024157831","23818109089726511387"
21509389,"449792609","134333927945984824"
21511377,"8061401171286","2422844792099895676321"
21519294,"8180920718132","2457572892291335124291"
